Node	GO terms	Odds Ratio	KEGG terms	Odds Ratio
Node 1	GO-BP-0008300:isoprenoid catabolic process	53.143	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	32.002
Node 1	GO-BP-0044242:cellular lipid catabolic process	35.422	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	31.631
Node 1	GO-BP-0016042:lipid catabolic process	35.422	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	31.631
Node 1	GO-BP-0006720:isoprenoid metabolic process	35.422	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	21.576
Node 1	GO-BP-0051128:regulation of cellular component organization	14	KEGG-Pathway-pae00364: Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1	15.81
Node 1	GO-BP-0009445:putrescine metabolic process	14	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	14
Node 1	GO-BP-0043603:cellular amide metabolic process	12.645	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1	12.589
Node 1	GO-BP-0044270:cellular nitrogen compound catabolic process	9.646	KEGG-Module-M00237: Branched-chain amino acid transport system	12.087
Node 1	GO-BP-0002047:phenazine biosynthetic process	9.646	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	10.574
Node 1	GO-BP-0017000:antibiotic biosynthetic process	9.646	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	10.498
Node 2	GO-BP-0072330:monocarboxylic acid biosynthetic process	16.939	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 2	GO-MF-0090484:drug transporter activity	11.256	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	16.939
Node 2	GO-BP-0050709:negative regulation of protein secretion	8.489	KEGG-Module-M00223: Phosphonate transport system	12.701
Node 2	GO-BP-0051048:negative regulation of secretion	8.489	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	9.703
Node 2	GO-BP-0051224:negative regulation of protein transport	8.489	KEGG-Module-M00237: Branched-chain amino acid transport system	9.703
Node 2	GO-MF-0016833:oxo-acid-lyase activity	8.44	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	6.751
Node 2	GO-BP-0060341:regulation of cellular localization	7.738	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	6.751
Node 2	GO-BP-0050708:regulation of protein secretion	7.738	KEGG-Module-M00334: Type VI secretion system	6.308
Node 2	GO-BP-0051046:regulation of secretion	7.738	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	6.076
Node 2	GO-BP-0032880:regulation of protein localization	7.738	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	5.385
Node 3	GO-MF-0015077:monovalent inorganic cation transmembrane transporter activity	55.326	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	64.775
Node 3	GO-MF-0004129:cytochrome-c oxidase activity	55.326	KEGG-Module-M00222: Phosphate transport system	27.375
Node 3	GO-MF-0016675:oxidoreductase activity, acting on a heme group of donors	55.326	KEGG-Module-M00223: Phosphonate transport system	24.413
Node 3	GO-MF-0016676:oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	55.326	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	18.367
Node 3	GO-MF-0015078:hydrogen ion transmembrane transporter activity	55.326	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	18.247
Node 3	GO-MF-0015002:heme-copper terminal oxidase activity	55.326	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	15.303
Node 3	GO-MF-0022890:inorganic cation transmembrane transporter activity	36.877	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	13.682
Node 3	GO-MF-0022891:substrate-specific transmembrane transporter activity	27.653	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	7.814
Node 3	GO-MF-0015075:ion transmembrane transporter activity	27.653	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	6.548
Node 3	GO-MF-0008324:cation transmembrane transporter activity	27.653	KEGG-Module-M00178: Ribosome, bacteria	6.277
Node 4	GO-BP-0008300:isoprenoid catabolic process	111.915	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	27.679
Node 4	GO-BP-0044242:cellular lipid catabolic process	55.947	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	27.679
Node 4	GO-BP-0016042:lipid catabolic process	55.947	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	18.449
Node 4	GO-BP-0006720:isoprenoid metabolic process	55.947	KEGG-Pathway-pae00364: Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1	13.834
Node 4	GO-BP-0065008:regulation of biological quality	24.685	KEGG-Module-M00324: Dipeptide transport system	13.834
Node 4	GO-BP-0042592:homeostatic process	24.685	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	9.307
Node 4	GO-MF-0016835:carbon-oxygen lyase activity	9.191	KEGG-Module-M00334: Type VI secretion system	6.888
Node 4	GO-MF-0016836:hydro-lyase activity	9.191	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	4.926
Node 4	GO-BP-0072330:monocarboxylic acid biosynthetic process	9.191	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.579
Node 4	GO-BP-0071241:cellular response to inorganic substance	9.191	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4.579
Node 5	GO-CC-0016020:membrane	14.994	KEGG-Module-M00178: Ribosome, bacteria	57.996
Node 5	GO-CC-0031975:envelope	13.281	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	33.065
Node 5	GO-MF-0005515:protein binding	13.281	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	11.016
Node 5	GO-BP-0033241:regulation of cellular amine catabolic process	13.281	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	8.861
